space_no,pos_x,pos_y,map_pos_x,map_pos_y
17,83,19,1109,277
18,83,18,1109,264
19,83,17,1109,251
20,83,16,1109,238
21,83,15,1109,225
22,83,14,1109,212
23,83,12,1109,186
24,83,11,1109,173
25,83,10,1109,160
26,83,9,1109,147
27,83,8,1109,134
28,83,7,1109,121
29,83,6,1109,108
30,82,6,1096,108
31,82,7,1096,121
32,82,8,1096,134
33,82,9,1096,147
34,82,10,1096,160
35,82,11,1096,173
36,82,12,1096,186
37,82,14,1096,212
38,82,15,1096,225
39,82,16,1096,238
40,82,17,1096,251
41,82,18,1096,264
42,82,19,1096,277
43,82,20,1096,290
44,82,25,1096,355
45,82,26,1096,368
46,82,27,1096,381
47,82,28,1096,394
48,82,29,1096,407
49,82,30,1096,420
50,82,31,1096,433
51,82,32,1096,446
52,82,34,1096,472
53,82,35,1096,485
54,82,36,1096,498
55,82,37,1096,511
56,82,38,1096,524
57,82,39,1096,537
58,82,40,1096,550
1,80,40,1070,550
2,80,39,1070,537
3,80,38,1070,524
4,80,37,1070,511
5,80,36,1070,498
6,80,35,1070,485
7,80,34,1070,472
8,80,32,1070,446
9,80,31,1070,433
10,80,30,1070,420
11,80,29,1070,407
12,80,28,1070,394
13,80,27,1070,381
14,80,26,1070,368
15,80,25,1070,355
16,80,20,1070,290
17,80,19,1070,277
18,80,18,1070,264
19,80,17,1070,251
20,80,16,1070,238
21,80,15,1070,225
22,80,14,1070,212
23,80,12,1070,186
24,80,11,1070,173
25,80,10,1070,160
26,80,9,1070,147
27,80,8,1070,134
28,80,7,1070,121
29,80,6,1070,108
30,79,6,1057,108
31,79,7,1057,121
32,79,8,1057,134
33,79,9,1057,147
34,79,10,1057,160
35,79,11,1057,173
36,79,12,1057,186
37,79,14,1057,212
38,79,15,1057,225
39,79,16,1057,238
40,79,17,1057,251
41,79,18,1057,264
42,79,19,1057,277
43,79,20,1057,290
44,79,25,1057,355
45,79,26,1057,368
46,79,27,1057,381
47,79,28,1057,394
48,79,29,1057,407
49,79,30,1057,420
50,79,31,1057,433
51,79,32,1057,446
52,79,34,1057,472
53,79,35,1057,485
54,79,36,1057,498
55,79,37,1057,511
56,79,38,1057,524
57,79,39,1057,537
58,79,40,1057,550
1,75,40,1005,550
2,75,39,1005,537
3,75,38,1005,524
4,75,37,1005,511
5,75,36,1005,498
6,75,35,1005,485
7,75,34,1005,472
8,75,32,1005,446
9,75,31,1005,433
10,75,30,1005,420
11,75,29,1005,407
12,75,28,1005,394
13,75,27,1005,381
14,75,26,1005,368
15,75,25,1005,355
16,75,20,1005,290
17,75,19,1005,277
18,75,18,1005,264
19,75,17,1005,251
20,75,16,1005,238
21,75,15,1005,225
22,75,14,1005,212
23,75,12,1005,186
24,75,11,1005,173
25,75,10,1005,160
26,75,9,1005,147
27,75,8,1005,134
28,75,7,1005,121
29,75,6,1005,108
30,74,6,992,108
31,74,7,992,121
32,74,8,992,134
33,74,9,992,147
34,74,10,992,160
35,74,11,992,173
36,74,12,992,186
37,74,14,992,212
38,74,15,992,225
39,74,16,992,238
40,74,17,992,251
41,74,18,992,264
42,74,19,992,277
43,74,20,992,290
44,74,25,992,355
45,74,26,992,368
46,74,27,992,381
47,74,28,992,394
48,74,29,992,407
49,74,30,992,420
50,74,31,992,433
51,74,32,992,446
52,74,34,992,472
53,74,35,992,485
54,74,36,992,498
55,74,37,992,511
56,74,38,992,524
57,74,39,992,537
58,74,40,992,550
1,72,40,966,550
2,72,39,966,537
3,72,38,966,524
4,72,37,966,511
5,72,36,966,498
6,72,35,966,485
7,72,34,966,472
8,72,32,966,446
9,72,31,966,433
10,72,30,966,420
11,72,29,966,407
12,72,28,966,394
13,72,27,966,381
14,72,26,966,368
15,72,25,966,355
16,72,20,966,290
17,72,19,966,277
18,72,18,966,264
19,72,17,966,251
20,72,16,966,238
21,72,15,966,225
22,72,14,966,212
23,72,12,966,186
24,72,11,966,173
25,72,10,966,160
26,72,9,966,147
27,72,8,966,134
28,72,7,966,121
29,72,6,966,108
30,71,6,953,108
31,71,7,953,121
32,71,8,953,134
33,71,9,953,147
34,71,10,953,160
35,71,11,953,173
36,71,12,953,186
37,71,14,953,212
38,71,15,953,225
39,71,16,953,238
40,71,17,953,251
41,71,18,953,264
42,71,19,953,277
43,71,20,953,290
44,71,25,953,355
45,71,26,953,368
46,71,27,953,381
47,71,28,953,394
48,71,29,953,407
49,71,30,953,420
50,71,31,953,433
51,71,32,953,446
52,71,34,953,472
53,71,35,953,485
54,71,36,953,498
55,71,37,953,511
56,71,38,953,524
57,71,39,953,537
58,71,40,953,550
1,69,40,927,550
2,69,39,927,537
3,69,38,927,524
4,69,37,927,511
5,69,36,927,498
6,69,35,927,485
7,69,34,927,472
8,69,32,927,446
9,69,31,927,433
10,69,30,927,420
11,69,29,927,407
12,69,28,927,394
13,69,27,927,381
14,69,26,927,368
15,69,25,927,355
16,69,20,927,290
17,69,19,927,277
18,69,18,927,264
19,69,17,927,251
20,69,16,927,238
21,69,15,927,225
22,69,14,927,212
23,69,12,927,186
24,69,11,927,173
25,69,10,927,160
26,69,9,927,147
27,69,8,927,134
28,69,7,927,121
29,69,6,927,108
30,68,6,914,108
31,68,7,914,121
32,68,8,914,134
33,68,9,914,147
34,68,10,914,160
35,68,11,914,173
36,68,12,914,186
37,68,14,914,212
38,68,15,914,225
39,68,16,914,238
40,68,17,914,251
41,68,18,914,264
42,68,19,914,277
43,68,20,914,290
44,68,25,914,355
45,68,26,914,368
46,68,27,914,381
47,68,28,914,394
48,68,29,914,407
49,68,30,914,420
50,68,31,914,433
51,68,32,914,446
52,68,34,914,472
53,68,35,914,485
54,68,36,914,498
55,68,37,914,511
56,68,38,914,524
57,68,39,914,537
58,68,40,914,550
1,66,40,888,550
2,66,39,888,537
3,66,38,888,524
4,66,37,888,511
5,66,36,888,498
6,66,35,888,485
7,66,34,888,472
8,66,32,888,446
9,66,31,888,433
10,66,30,888,420
11,66,29,888,407
12,66,28,888,394
13,66,27,888,381
14,66,26,888,368
15,66,25,888,355
16,66,20,888,290
17,66,19,888,277
18,66,18,888,264
19,66,17,888,251
20,66,16,888,238
21,66,15,888,225
22,66,14,888,212
23,66,12,888,186
24,66,11,888,173
25,66,10,888,160
26,66,9,888,147
27,66,8,888,134
28,66,7,888,121
29,66,6,888,108
30,65,6,875,108
31,65,7,875,121
32,65,8,875,134
33,65,9,875,147
34,65,10,875,160
35,65,11,875,173
36,65,12,875,186
37,65,14,875,212
38,65,15,875,225
39,65,16,875,238
40,65,17,875,251
41,65,18,875,264
42,65,19,875,277
43,65,20,875,290
44,65,25,875,355
45,65,26,875,368
46,65,27,875,381
47,65,28,875,394
48,65,29,875,407
49,65,30,875,420
50,65,31,875,433
51,65,32,875,446
52,65,34,875,472
53,65,35,875,485
54,65,36,875,498
55,65,37,875,511
56,65,38,875,524
57,65,39,875,537
58,65,40,875,550
1,62,40,836,550
2,62,39,836,537
3,62,38,836,524
4,62,37,836,511
5,62,36,836,498
6,62,35,836,485
7,62,34,836,472
8,62,32,836,446
9,62,31,836,433
10,62,30,836,420
11,62,29,836,407
12,62,28,836,394
13,62,27,836,381
14,62,26,836,368
15,62,25,836,355
16,62,20,836,290
17,62,19,836,277
18,62,18,836,264
19,62,17,836,251
20,62,16,836,238
21,62,15,836,225
22,62,14,836,212
23,62,12,836,186
24,62,11,836,173
25,62,10,836,160
26,62,9,836,147
27,62,8,836,134
28,62,7,836,121
29,62,6,836,108
30,61,6,823,108
31,61,7,823,121
32,61,8,823,134
33,61,9,823,147
34,61,10,823,160
35,61,11,823,173
36,61,12,823,186
37,61,14,823,212
38,61,15,823,225
39,61,16,823,238
40,61,17,823,251
41,61,18,823,264
42,61,19,823,277
43,61,20,823,290
44,61,25,823,355
45,61,26,823,368
46,61,27,823,381
47,61,28,823,394
48,61,29,823,407
49,61,30,823,420
50,61,31,823,433
51,61,32,823,446
52,61,34,823,472
53,61,35,823,485
54,61,36,823,498
55,61,37,823,511
56,61,38,823,524
57,61,39,823,537
58,61,40,823,550
1,59,40,797,550
2,59,39,797,537
3,59,38,797,524
4,59,37,797,511
5,59,36,797,498
6,59,35,797,485
7,59,34,797,472
8,59,32,797,446
9,59,31,797,433
10,59,30,797,420
11,59,29,797,407
12,59,28,797,394
13,59,27,797,381
14,59,26,797,368
15,59,25,797,355
16,59,20,797,290
17,59,19,797,277
18,59,18,797,264
19,59,17,797,251
20,59,16,797,238
21,59,15,797,225
22,59,14,797,212
23,59,12,797,186
24,59,11,797,173
25,59,10,797,160
26,59,9,797,147
27,59,8,797,134
28,59,7,797,121
29,59,6,797,108
30,58,6,784,108
31,58,7,784,121
32,58,8,784,134
33,58,9,784,147
34,58,10,784,160
35,58,11,784,173
36,58,12,784,186
37,58,14,784,212
38,58,15,784,225
39,58,16,784,238
40,58,17,784,251
41,58,18,784,264
42,58,19,784,277
43,58,20,784,290
44,58,25,784,355
45,58,26,784,368
46,58,27,784,381
47,58,28,784,394
48,58,29,784,407
49,58,30,784,420
50,58,31,784,433
51,58,32,784,446
52,58,34,784,472
53,58,35,784,485
54,58,36,784,498
55,58,37,784,511
56,58,38,784,524
57,58,39,784,537
58,58,40,784,550
1,56,40,758,550
2,56,39,758,537
3,56,38,758,524
4,56,37,758,511
5,56,36,758,498
6,56,35,758,485
7,56,34,758,472
8,56,32,758,446
9,56,31,758,433
10,56,30,758,420
11,56,29,758,407
12,56,28,758,394
13,56,27,758,381
14,56,26,758,368
15,56,25,758,355
16,56,20,758,290
17,56,19,758,277
18,56,18,758,264
19,56,17,758,251
20,56,16,758,238
21,56,15,758,225
22,56,14,758,212
23,56,12,758,186
24,56,11,758,173
25,56,10,758,160
26,56,9,758,147
27,56,8,758,134
28,56,7,758,121
29,56,6,758,108
30,55,6,745,108
31,55,7,745,121
32,55,8,745,134
33,55,9,745,147
34,55,10,745,160
35,55,11,745,173
36,55,12,745,186
37,55,14,745,212
38,55,15,745,225
39,55,16,745,238
40,55,17,745,251
41,55,18,745,264
42,55,19,745,277
43,55,20,745,290
44,55,25,745,355
45,55,26,745,368
46,55,27,745,381
47,55,28,745,394
48,55,29,745,407
49,55,30,745,420
50,55,31,745,433
51,55,32,745,446
52,55,34,745,472
53,55,35,745,485
54,55,36,745,498
55,55,37,745,511
56,55,38,745,524
57,55,39,745,537
58,55,40,745,550
1,53,40,719,550
2,53,39,719,537
3,53,38,719,524
4,53,37,719,511
5,53,36,719,498
6,53,35,719,485
7,53,34,719,472
8,53,32,719,446
9,53,31,719,433
10,53,30,719,420
11,53,29,719,407
12,53,28,719,394
13,53,27,719,381
14,53,26,719,368
15,53,25,719,355
16,53,20,719,290
17,53,19,719,277
18,53,18,719,264
19,53,17,719,251
20,53,16,719,238
21,53,15,719,225
22,53,14,719,212
23,53,12,719,186
24,53,11,719,173
25,53,10,719,160
26,53,9,719,147
27,53,8,719,134
28,53,7,719,121
29,53,6,719,108
30,52,6,706,108
31,52,7,706,121
32,52,8,706,134
33,52,9,706,147
34,52,10,706,160
35,52,11,706,173
36,52,12,706,186
37,52,14,706,212
38,52,15,706,225
39,52,16,706,238
40,52,17,706,251
41,52,18,706,264
42,52,19,706,277
43,52,20,706,290
44,52,25,706,355
45,52,26,706,368
46,52,27,706,381
47,52,28,706,394
48,52,29,706,407
49,52,30,706,420
50,52,31,706,433
51,52,32,706,446
52,52,34,706,472
53,52,35,706,485
54,52,36,706,498
55,52,37,706,511
56,52,38,706,524
57,52,39,706,537
58,52,40,706,550
1,50,40,680,550
2,50,39,680,537
3,50,38,680,524
4,50,37,680,511
5,50,36,680,498
6,50,35,680,485
7,50,34,680,472
8,50,32,680,446
9,50,31,680,433
10,50,30,680,420
11,50,29,680,407
12,50,28,680,394
13,50,27,680,381
14,50,26,680,368
15,50,25,680,355
16,50,20,680,290
17,50,19,680,277
18,50,18,680,264
19,50,17,680,251
20,50,16,680,238
21,50,15,680,225
22,50,14,680,212
23,50,12,680,186
24,50,11,680,173
25,50,10,680,160
26,50,9,680,147
27,50,8,680,134
28,50,7,680,121
29,50,6,680,108
30,49,6,667,108
31,49,7,667,121
32,49,8,667,134
33,49,9,667,147
34,49,10,667,160
35,49,11,667,173
36,49,12,667,186
37,49,14,667,212
38,49,15,667,225
39,49,16,667,238
40,49,17,667,251
41,49,18,667,264
42,49,19,667,277
43,49,20,667,290
44,49,25,667,355
45,49,26,667,368
46,49,27,667,381
47,49,28,667,394
48,49,29,667,407
49,49,30,667,420
50,49,31,667,433
51,49,32,667,446
52,49,34,667,472
53,49,35,667,485
54,49,36,667,498
55,49,37,667,511
56,49,38,667,524
57,49,39,667,537
58,49,40,667,550
1,47,40,641,550
2,47,39,641,537
3,47,38,641,524
4,47,37,641,511
5,47,36,641,498
6,47,35,641,485
7,47,34,641,472
8,47,32,641,446
9,47,31,641,433
10,47,30,641,420
11,47,29,641,407
12,47,28,641,394
13,47,27,641,381
14,47,26,641,368
15,47,25,641,355
16,47,20,641,290
17,47,19,641,277
18,47,18,641,264
19,47,17,641,251
20,47,16,641,238
21,47,15,641,225
22,47,14,641,212
23,47,12,641,186
24,47,11,641,173
25,47,10,641,160
26,47,9,641,147
27,47,8,641,134
28,47,7,641,121
29,47,6,641,108
30,46,6,628,108
31,46,7,628,121
32,46,8,628,134
33,46,9,628,147
34,46,10,628,160
35,46,11,628,173
36,46,12,628,186
37,46,14,628,212
38,46,15,628,225
39,46,16,628,238
40,46,17,628,251
41,46,18,628,264
42,46,19,628,277
43,46,20,628,290
44,46,25,628,355
45,46,26,628,368
46,46,27,628,381
47,46,28,628,394
48,46,29,628,407
49,46,30,628,420
50,46,31,628,433
51,46,32,628,446
52,46,34,628,472
53,46,35,628,485
54,46,36,628,498
55,46,37,628,511
56,46,38,628,524
57,46,39,628,537
58,46,40,628,550
1,42,40,576,550
2,42,39,576,537
3,42,38,576,524
4,42,37,576,511
5,42,36,576,498
6,42,35,576,485
7,42,34,576,472
8,42,32,576,446
9,42,31,576,433
10,42,30,576,420
11,42,29,576,407
12,42,28,576,394
13,42,27,576,381
14,42,26,576,368
15,42,25,576,355
16,42,20,576,290
17,42,19,576,277
18,42,18,576,264
19,42,17,576,251
20,42,16,576,238
21,42,15,576,225
22,42,14,576,212
23,42,12,576,186
24,42,11,576,173
25,42,10,576,160
26,42,9,576,147
27,42,8,576,134
28,42,7,576,121
29,42,6,576,108
30,41,6,563,108
31,41,7,563,121
32,41,8,563,134
33,41,9,563,147
34,41,10,563,160
35,41,11,563,173
36,41,12,563,186
37,41,14,563,212
38,41,15,563,225
39,41,16,563,238
40,41,17,563,251
41,41,18,563,264
42,41,19,563,277
43,41,20,563,290
44,41,25,563,355
45,41,26,563,368
46,41,27,563,381
47,41,28,563,394
48,41,29,563,407
49,41,30,563,420
50,41,31,563,433
51,41,32,563,446
52,41,34,563,472
53,41,35,563,485
54,41,36,563,498
55,41,37,563,511
56,41,38,563,524
57,41,39,563,537
58,41,40,563,550
1,39,40,537,550
2,39,39,537,537
3,39,38,537,524
4,39,37,537,511
5,39,36,537,498
6,39,35,537,485
7,39,34,537,472
8,39,32,537,446
9,39,31,537,433
10,39,30,537,420
11,39,29,537,407
12,39,28,537,394
13,39,27,537,381
14,39,26,537,368
15,39,25,537,355
16,39,20,537,290
17,39,19,537,277
18,39,18,537,264
19,39,17,537,251
20,39,16,537,238
21,39,15,537,225
22,39,14,537,212
23,39,12,537,186
24,39,11,537,173
25,39,10,537,160
26,39,9,537,147
27,39,8,537,134
28,39,7,537,121
29,39,6,537,108
30,38,6,524,108
31,38,7,524,121
32,38,8,524,134
33,38,9,524,147
34,38,10,524,160
35,38,11,524,173
36,38,12,524,186
37,38,14,524,212
38,38,15,524,225
39,38,16,524,238
40,38,17,524,251
41,38,18,524,264
42,38,19,524,277
43,38,20,524,290
44,38,25,524,355
45,38,26,524,368
46,38,27,524,381
47,38,28,524,394
48,38,29,524,407
49,38,30,524,420
50,38,31,524,433
51,38,32,524,446
52,38,34,524,472
53,38,35,524,485
54,38,36,524,498
55,38,37,524,511
56,38,38,524,524
57,38,39,524,537
58,38,40,524,550
1,36,40,498,550
2,36,39,498,537
3,36,38,498,524
4,36,37,498,511
5,36,36,498,498
6,36,35,498,485
7,36,34,498,472
8,36,32,498,446
9,36,31,498,433
10,36,30,498,420
11,36,29,498,407
12,36,28,498,394
13,36,27,498,381
14,36,26,498,368
15,36,25,498,355
16,36,20,498,290
17,36,19,498,277
18,36,18,498,264
19,36,17,498,251
20,36,16,498,238
21,36,15,498,225
22,36,14,498,212
23,36,12,498,186
24,36,11,498,173
25,36,10,498,160
26,36,9,498,147
27,36,8,498,134
28,36,7,498,121
29,36,6,498,108
30,35,6,485,108
31,35,7,485,121
32,35,8,485,134
33,35,9,485,147
34,35,10,485,160
35,35,11,485,173
36,35,12,485,186
37,35,14,485,212
38,35,15,485,225
39,35,16,485,238
40,35,17,485,251
41,35,18,485,264
42,35,19,485,277
43,35,20,485,290
44,35,25,485,355
45,35,26,485,368
46,35,27,485,381
47,35,28,485,394
48,35,29,485,407
49,35,30,485,420
50,35,31,485,433
51,35,32,485,446
52,35,34,485,472
53,35,35,485,485
54,35,36,485,498
55,35,37,485,511
56,35,38,485,524
57,35,39,485,537
58,35,40,485,550
1,33,40,459,550
2,33,39,459,537
3,33,38,459,524
4,33,37,459,511
5,33,36,459,498
6,33,35,459,485
7,33,34,459,472
8,33,32,459,446
9,33,31,459,433
10,33,30,459,420
11,33,29,459,407
12,33,28,459,394
13,33,27,459,381
14,33,26,459,368
15,33,25,459,355
16,33,20,459,290
17,33,19,459,277
18,33,18,459,264
19,33,17,459,251
20,33,16,459,238
21,33,15,459,225
22,33,14,459,212
23,33,12,459,186
24,33,11,459,173
25,33,10,459,160
26,33,9,459,147
27,33,8,459,134
28,33,7,459,121
29,33,6,459,108
30,32,6,446,108
31,32,7,446,121
32,32,8,446,134
33,32,9,446,147
34,32,10,446,160
35,32,11,446,173
36,32,12,446,186
37,32,14,446,212
38,32,15,446,225
39,32,16,446,238
40,32,17,446,251
41,32,18,446,264
42,32,19,446,277
43,32,20,446,290
44,32,25,446,355
45,32,26,446,368
46,32,27,446,381
47,32,28,446,394
48,32,29,446,407
49,32,30,446,420
50,32,31,446,433
51,32,32,446,446
52,32,34,446,472
53,32,35,446,485
54,32,36,446,498
55,32,37,446,511
56,32,38,446,524
57,32,39,446,537
58,32,40,446,550
1,29,40,407,550
2,29,39,407,537
3,29,38,407,524
4,29,37,407,511
5,29,36,407,498
6,29,35,407,485
7,29,34,407,472
8,29,32,407,446
9,29,31,407,433
10,29,30,407,420
11,29,29,407,407
12,29,28,407,394
13,29,27,407,381
14,29,26,407,368
15,29,25,407,355
16,29,20,407,290
17,29,19,407,277
18,29,18,407,264
19,29,17,407,251
20,29,16,407,238
21,29,15,407,225
22,29,14,407,212
23,29,12,407,186
24,29,11,407,173
25,29,10,407,160
26,29,9,407,147
27,29,8,407,134
28,29,7,407,121
29,29,6,407,108
30,28,6,394,108
31,28,7,394,121
32,28,8,394,134
33,28,9,394,147
34,28,10,394,160
35,28,11,394,173
36,28,12,394,186
37,28,14,394,212
38,28,15,394,225
39,28,16,394,238
40,28,17,394,251
41,28,18,394,264
42,28,19,394,277
43,28,20,394,290
44,28,25,394,355
45,28,26,394,368
46,28,27,394,381
47,28,28,394,394
48,28,29,394,407
49,28,30,394,420
50,28,31,394,433
51,28,32,394,446
52,28,34,394,472
53,28,35,394,485
54,28,36,394,498
55,28,37,394,511
56,28,38,394,524
57,28,39,394,537
58,28,40,394,550
1,26,40,368,550
2,26,39,368,537
3,26,38,368,524
4,26,37,368,511
5,26,36,368,498
6,26,35,368,485
7,26,34,368,472
8,26,32,368,446
9,26,31,368,433
10,26,30,368,420
11,26,29,368,407
12,26,28,368,394
13,26,27,368,381
14,26,26,368,368
15,26,25,368,355
16,26,20,368,290
17,26,19,368,277
18,26,18,368,264
19,26,17,368,251
20,26,16,368,238
21,26,15,368,225
22,26,14,368,212
23,26,12,368,186
24,26,11,368,173
25,26,10,368,160
26,26,9,368,147
27,26,8,368,134
28,26,7,368,121
29,26,6,368,108
30,25,6,355,108
31,25,7,355,121
32,25,8,355,134
33,25,9,355,147
34,25,10,355,160
35,25,11,355,173
36,25,12,355,186
37,25,14,355,212
38,25,15,355,225
39,25,16,355,238
40,25,17,355,251
41,25,18,355,264
42,25,19,355,277
43,25,20,355,290
44,25,25,355,355
45,25,26,355,368
46,25,27,355,381
47,25,28,355,394
48,25,29,355,407
49,25,30,355,420
50,25,31,355,433
51,25,32,355,446
52,25,34,355,472
53,25,35,355,485
54,25,36,355,498
55,25,37,355,511
56,25,38,355,524
57,25,39,355,537
58,25,40,355,550
1,23,40,329,550
2,23,39,329,537
3,23,38,329,524
4,23,37,329,511
5,23,36,329,498
6,23,35,329,485
7,23,34,329,472
8,23,32,329,446
9,23,31,329,433
10,23,30,329,420
11,23,29,329,407
12,23,28,329,394
13,23,27,329,381
14,23,26,329,368
15,23,25,329,355
16,23,20,329,290
17,23,19,329,277
18,23,18,329,264
19,23,17,329,251
20,23,16,329,238
21,23,15,329,225
22,23,14,329,212
23,23,12,329,186
24,23,11,329,173
25,23,10,329,160
26,23,9,329,147
27,23,8,329,134
28,23,7,329,121
29,23,6,329,108
30,22,6,316,108
31,22,7,316,121
32,22,8,316,134
33,22,9,316,147
34,22,10,316,160
35,22,11,316,173
36,22,12,316,186
37,22,14,316,212
38,22,15,316,225
39,22,16,316,238
40,22,17,316,251
41,22,18,316,264
42,22,19,316,277
43,22,20,316,290
44,22,25,316,355
45,22,26,316,368
46,22,27,316,381
47,22,28,316,394
48,22,29,316,407
49,22,30,316,420
50,22,31,316,433
51,22,32,316,446
52,22,34,316,472
53,22,35,316,485
54,22,36,316,498
55,22,37,316,511
56,22,38,316,524
57,22,39,316,537
58,22,40,316,550
1,20,40,290,550
2,20,39,290,537
3,20,38,290,524
4,20,37,290,511
5,20,36,290,498
6,20,35,290,485
7,20,34,290,472
8,20,32,290,446
9,20,31,290,433
10,20,30,290,420
11,20,29,290,407
12,20,28,290,394
13,20,27,290,381
14,20,26,290,368
15,20,25,290,355
16,20,20,290,290
17,20,19,290,277
18,20,18,290,264
19,20,17,290,251
20,20,16,290,238
21,20,15,290,225
22,20,14,290,212
23,20,12,290,186
24,20,11,290,173
25,20,10,290,160
26,20,9,290,147
27,20,8,290,134
28,20,7,290,121
29,20,6,290,108
30,19,6,277,108
31,19,7,277,121
32,19,8,277,134
33,19,9,277,147
34,19,10,277,160
35,19,11,277,173
36,19,12,277,186
37,19,14,277,212
38,19,15,277,225
39,19,16,277,238
40,19,17,277,251
41,19,18,277,264
42,19,19,277,277
43,19,20,277,290
44,19,25,277,355
45,19,26,277,368
46,19,27,277,381
47,19,28,277,394
48,19,29,277,407
49,19,30,277,420
50,19,31,277,433
51,19,32,277,446
52,19,34,277,472
53,19,35,277,485
54,19,36,277,498
55,19,37,277,511
56,19,38,277,524
57,19,39,277,537
58,19,40,277,550
1,17,40,251,550
