id,blockId,spaceNo,xpos,ypos,layout,mapId
608,10,48,940,300,4,1
609,10,49,940,310,4,1
610,10,50,940,320,4,1
611,10,51,940,330,4,1
612,10,52,940,340,4,1
613,10,53,940,350,1,1
614,10,54,940,380,3,1
615,10,55,940,390,4,1
616,10,56,940,400,4,1
617,10,57,940,410,4,1
618,10,58,940,420,4,1
619,10,59,940,430,4,1
620,10,60,940,440,1,1
621,11,1,920,440,1,1
622,11,2,920,430,2,1
623,11,3,920,420,2,1
624,11,4,920,410,2,1
625,11,5,920,400,2,1
626,11,6,920,390,2,1
627,11,7,920,380,3,1
628,11,8,920,350,1,1
629,11,9,920,340,2,1
630,11,10,920,330,2,1
631,11,11,920,320,2,1
632,11,12,920,310,2,1
633,11,13,920,300,2,1
634,11,14,920,290,2,1
635,11,15,920,280,3,1
636,11,16,920,240,1,1
637,11,17,920,230,2,1
638,11,18,920,220,2,1
639,11,19,920,210,2,1
640,11,20,920,200,2,1
641,11,21,920,190,2,1
642,11,22,920,180,2,1
643,11,23,920,170,3,1
644,11,24,920,140,1,1
645,11,25,920,130,2,1
646,11,26,920,120,2,1
647,11,27,920,110,2,1
648,11,28,920,100,2,1
649,11,29,920,90,2,1
650,11,30,920,80,3,1
651,11,31,910,80,3,1
652,11,32,910,90,4,1
653,11,33,910,100,4,1
654,11,34,910,110,4,1
655,11,35,910,120,4,1
656,11,36,910,130,4,1
657,11,37,910,140,1,1
658,11,38,910,170,3,1
659,11,39,910,180,4,1
660,11,40,910,190,4,1
661,11,41,910,200,4,1
662,11,42,910,210,4,1
663,11,43,910,220,4,1
664,11,44,910,230,4,1
665,11,45,910,240,1,1
666,11,46,910,280,3,1
667,11,47,910,290,4,1
668,11,48,910,300,4,1
669,11,49,910,310,4,1
670,11,50,910,320,4,1
671,11,51,910,330,4,1
672,11,52,910,340,4,1
673,11,53,910,350,1,1
674,11,54,910,380,3,1
675,11,55,910,390,4,1
676,11,56,910,400,4,1
677,11,57,910,410,4,1
678,11,58,910,420,4,1
679,11,59,910,430,4,1
680,11,60,910,440,1,1
681,12,1,890,440,1,1
682,12,2,890,430,2,1
683,12,3,890,420,2,1
684,12,4,890,410,2,1
685,12,5,890,400,2,1
686,12,6,890,390,2,1
687,12,7,890,380,3,1
688,12,8,890,350,1,1
689,12,9,890,340,2,1
690,12,10,890,330,2,1
691,12,11,890,320,2,1
692,12,12,890,310,2,1
693,12,13,890,300,2,1
694,12,14,890,290,2,1
695,12,15,890,280,3,1
696,12,16,890,240,1,1
697,12,17,890,230,2,1
698,12,18,890,220,2,1
699,12,19,890,210,2,1
700,12,20,890,200,2,1
701,12,21,890,190,2,1
702,12,22,890,180,2,1
703,12,23,890,170,3,1
704,12,24,890,140,1,1
705,12,25,890,130,2,1
706,12,26,890,120,2,1
707,12,27,890,110,2,1
708,12,28,890,100,2,1
709,12,29,890,90,2,1
710,12,30,890,80,3,1
711,12,31,880,80,3,1
712,12,32,880,90,4,1
713,12,33,880,100,4,1
714,12,34,880,110,4,1
715,12,35,880,120,4,1
716,12,36,880,130,4,1
717,12,37,880,140,1,1
718,12,38,880,170,3,1
719,12,39,880,180,4,1
720,12,40,880,190,4,1
721,12,41,880,200,4,1
722,12,42,880,210,4,1
723,12,43,880,220,4,1
724,12,44,880,230,4,1
725,12,45,880,240,1,1
726,12,46,880,280,3,1
727,12,47,880,290,4,1
728,12,48,880,300,4,1
729,12,49,880,310,4,1
730,12,50,880,320,4,1
731,12,51,880,330,4,1
732,12,52,880,340,4,1
733,12,53,880,350,1,1
734,12,54,880,380,3,1
735,12,55,880,390,4,1
736,12,56,880,400,4,1
737,12,57,880,410,4,1
738,12,58,880,420,4,1
739,12,59,880,430,4,1
740,12,60,880,440,1,1
741,13,1,850,420,1,1
742,13,2,850,410,2,1
743,13,3,850,400,2,1
744,13,4,850,390,2,1
745,13,5,850,380,3,1
746,13,6,850,350,1,1
747,13,7,850,340,2,1
748,13,8,850,330,2,1
749,13,9,850,320,2,1
750,13,10,850,310,2,1
751,13,11,850,300,2,1
752,13,12,850,290,3,1
753,13,13,850,230,1,1
754,13,14,850,220,2,1
755,13,15,850,210,2,1
756,13,16,850,200,2,1
757,13,17,850,190,2,1
758,13,18,850,180,2,1
759,13,19,850,170,3,1
760,13,20,850,140,1,1
761,13,21,850,130,2,1
762,13,22,850,120,2,1
763,13,23,850,110,2,1
764,13,24,850,100,3,1
765,13,25,840,100,3,1
766,13,26,840,110,4,1
767,13,27,840,120,4,1
768,13,28,840,130,4,1
769,13,29,840,140,1,1
770,13,30,840,170,3,1
771,13,31,840,180,4,1
772,13,32,840,190,4,1
773,13,33,840,200,4,1
774,13,34,840,210,4,1
775,13,35,840,220,4,1
776,13,36,840,230,1,1
777,13,37,840,290,3,1
778,13,38,840,300,4,1
779,13,39,840,310,4,1
780,13,40,840,320,4,1
781,13,41,840,330,4,1
782,13,42,840,340,4,1
783,13,43,840,350,1,1
784,13,44,840,380,3,1
785,13,45,840,390,4,1
786,13,46,840,400,4,1
787,13,47,840,410,4,1
788,13,48,840,420,1,1
789,14,1,810,420,1,1
790,14,2,810,410,2,1
791,14,3,810,400,2,1
792,14,4,810,390,2,1
793,14,5,810,380,3,1
794,14,6,810,350,1,1
795,14,7,810,340,2,1
796,14,8,810,330,2,1
797,14,9,810,320,2,1
798,14,10,810,310,2,1
799,14,11,810,300,2,1
800,14,12,810,290,3,1
801,14,13,810,230,1,1
802,14,14,810,220,2,1
803,14,15,810,210,2,1
804,14,16,810,200,2,1
805,14,17,810,190,2,1
806,14,18,810,180,2,1
807,14,19,810,170,3,1
808,14,20,810,140,1,1
809,14,21,810,130,2,1
810,14,22,810,120,2,1
811,14,23,810,110,2,1
812,14,24,810,100,3,1
813,14,25,800,100,3,1
814,14,26,800,110,4,1
815,14,27,800,120,4,1
816,14,28,800,130,4,1
817,14,29,800,140,1,1
818,14,30,800,170,3,1
819,14,31,800,180,4,1
820,14,32,800,190,4,1
821,14,33,800,200,4,1
822,14,34,800,210,4,1
823,14,35,800,220,4,1
824,14,36,800,230,1,1
825,14,37,800,290,3,1
826,14,38,800,300,4,1
827,14,39,800,310,4,1
828,14,40,800,320,4,1
829,14,41,800,330,4,1
830,14,42,800,340,4,1
831,14,43,800,350,1,1
832,14,44,800,380,3,1
833,14,45,800,390,4,1
834,14,46,800,400,4,1
835,14,47,800,410,4,1
836,14,48,800,420,1,1
837,15,1,780,440,1,1
838,15,2,780,430,2,1
839,15,3,780,420,2,1
840,15,4,780,410,2,1
841,15,5,780,400,2,1
842,15,6,780,390,2,1
843,15,7,780,380,3,1
844,15,8,780,350,1,1
845,15,9,780,340,2,1
846,15,10,780,330,2,1
847,15,11,780,320,2,1
848,15,12,780,310,2,1
849,15,13,780,300,2,1
850,15,14,780,290,2,1
851,15,15,780,280,3,1
852,15,16,780,240,1,1
853,15,17,780,230,2,1
854,15,18,780,220,2,1
855,15,19,780,210,2,1
856,15,20,780,200,2,1
857,15,21,780,190,2,1
858,15,22,780,180,2,1
859,15,23,780,170,3,1
860,15,24,780,140,1,1
861,15,25,780,130,2,1
862,15,26,780,120,2,1
863,15,27,780,110,2,1
864,15,28,780,100,2,1
865,15,29,780,90,2,1
866,15,30,780,80,3,1
867,15,31,770,80,3,1
868,15,32,770,90,4,1
869,15,33,770,100,4,1
870,15,34,770,110,4,1
871,15,35,770,120,4,1
872,15,36,770,130,4,1
873,15,37,770,140,1,1
874,15,38,770,170,3,1
875,15,39,770,180,4,1
876,15,40,770,190,4,1
877,15,41,770,200,4,1
878,15,42,770,210,4,1
879,15,43,770,220,4,1
880,15,44,770,230,4,1
881,15,45,770,240,1,1
882,15,46,770,280,3,1
883,15,47,770,290,4,1
884,15,48,770,300,4,1
885,15,49,770,310,4,1
886,15,50,770,320,4,1
887,15,51,770,330,4,1
888,15,52,770,340,4,1
889,15,53,770,350,1,1
890,15,54,770,380,3,1
891,15,55,770,390,4,1
892,15,56,770,400,4,1
893,15,57,770,410,4,1
894,15,58,770,420,4,1
895,15,59,770,430,4,1
896,15,60,770,440,1,1
897,16,1,750,440,1,1
898,16,2,750,430,2,1
899,16,3,750,420,2,1
900,16,4,750,410,2,1
901,16,5,750,400,2,1
902,16,6,750,390,2,1
903,16,7,750,380,3,1
904,16,8,750,350,1,1
905,16,9,750,340,2,1
906,16,10,750,330,2,1
907,16,11,750,320,2,1
908,16,12,750,310,2,1
909,16,13,750,300,2,1
910,16,14,750,290,2,1
911,16,15,750,280,3,1
912,16,16,750,240,1,1
913,16,17,750,230,2,1
914,16,18,750,220,2,1
915,16,19,750,210,2,1
916,16,20,750,200,2,1
917,16,21,750,190,2,1
918,16,22,750,180,2,1
919,16,23,750,170,3,1
920,16,24,750,140,1,1
921,16,25,750,130,2,1
922,16,26,750,120,2,1
923,16,27,750,110,2,1
924,16,28,750,100,2,1
925,16,29,750,90,2,1
926,16,30,750,80,3,1
927,16,31,740,80,3,1
928,16,32,740,90,4,1
929,16,33,740,100,4,1
930,16,34,740,110,4,1
931,16,35,740,120,4,1
932,16,36,740,130,4,1
933,16,37,740,140,1,1
934,16,38,740,170,3,1
935,16,39,740,180,4,1
936,16,40,740,190,4,1
937,16,41,740,200,4,1
938,16,42,740,210,4,1
939,16,43,740,220,4,1
940,16,44,740,230,4,1
941,16,45,740,240,1,1
942,16,46,740,280,3,1
943,16,47,740,290,4,1
944,16,48,740,300,4,1
945,16,49,740,310,4,1
946,16,50,740,320,4,1
947,16,51,740,330,4,1
948,16,52,740,340,4,1
949,16,53,740,350,1,1
950,16,54,740,380,3,1
951,16,55,740,390,4,1
952,16,56,740,400,4,1
953,16,57,740,410,4,1
954,16,58,740,420,4,1
955,16,59,740,430,4,1
956,16,60,740,440,1,1
957,17,1,720,440,1,1
958,17,2,720,430,2,1
959,17,3,720,420,2,1
960,17,4,720,410,2,1
961,17,5,720,400,2,1
962,17,6,720,390,2,1
963,17,7,720,380,3,1
964,17,8,720,350,1,1
